Category,Neutral,Oppose,Support
Financial Services,62.5,12.5,25.0
Government,28.6,9.24,62.17
Input,30.0,0.0,70.0
Marketing and Distribution,0.0,16.67,83.33
NGO,25.14,30.81,44.05
Political Party,26.38,23.05,50.57
Processing 1,17.65,0.0,82.35
Processing 2,0.0,0.0,100.0
Production,0.0,33.33,66.67
Production - Associations,26.15,17.69,56.15
Production - Co-ops,50.0,0.0,50.0
Research and Regulatory,37.19,5.42,57.39
Telecommunications,0.0,0.0,100.0
Trade association,50.0,20.0,30.0
